"title";"date";"href"
"1";"Ils se sont mobilisés au second tour de la primaire à droite pour « faire barrage » à Fillon";2016-12-01;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/11/30/ils-se-sont-mobilises-au-second-tour-de-la-primaire-a-droite-pour-faire-barrage-a-fillon_5040942_4854003.html?xtmc=fillon&xtcr=1"
"2";"De Villiers rode sa campagne anti-islam et… anti-Fillon";2016-12-01;"http://abonnes.lemonde.fr/politique/article/2016/12/01/de-villiers-rode-sa-campagne-anti-islam-et-anti-fillon_5041397_823448.html?xtmc=fillon&xtcr=2"
"3";"Les centristes, divisés et coincés entre Fillon et Macron";2016-12-01;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/01/du-mou-dans-le-centre_5041181_4854003.html?xtmc=fillon&xtcr=3"
"4";"Les centristes en ordre dispersé face à François Fillon";2016-12-01;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/11/30/les-centristes-en-ordre-disperse-face-a-francois-fillon_5041077_4854003.html?xtmc=fillon&xtcr=4"
"5";"François Fillon provoque un malaise avec son projet pour la « Sécu »";2016-12-01;"http://abonnes.lemonde.fr/sante/article/2016/12/01/francois-fillon-provoque-un-malaise-avec-son-projet-pour-la-secu_5041486_1651302.html?xtmc=fillon&xtcr=5"
"6";"Dans les entreprises où la participation de l’Etat ne sert « à rien », Fillon veut « reprendre les privatisations »";2016-12-01;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/01/francois-fillon-veut-reprendre-les-privatisations-dans-les-entreprises-ou-la-participation-de-l-etat-ne-sert-a-rien_5041521_4854003.html?xtmc=fillon&xtcr=6"
"7";"Lionel Stoléru, François Fillon, Alep… les informations à retenir en fin de journée";2016-12-01;"http://abonnes.lemonde.fr/les-decodeurs/article/2016/12/01/lionel-stoleru-francois-fillon-alep-les-informations-a-retenir-en-fin-de-journee_5041775_4355770.html?xtmc=fillon&xtcr=7"
"8";"Jean-Pierre Filiu : « François Fillon se trompe de “totalitarisme” au Moyen-Orient »";2016-12-02;"http://abonnes.lemonde.fr/idees/article/2016/11/30/jean-pierre-filiu-francois-fillon-se-trompe-de-totalitarisme-au-moyen-orient_5041097_3232.html?xtmc=fillon&xtcr=8"
"9";"François Fillon veut relancer les privatisations";2016-12-02;"http://abonnes.lemonde.fr/economie-francaise/article/2016/12/02/francois-fillon-veut-relancer-les-privatisations_5042144_1656968.html?xtmc=fillon&xtcr=9"
"10";"Pour François Fillon, le quinquennat de Hollande « s’achève dans la pagaille »";2016-12-02;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/02/pour-francois-fillon-le-quinquennat-de-hollande-s-acheve-dans-la-pagaille_5042133_4854003.html?xtmc=fillon&xtcr=10"
"11";"Fillon, Kosciusko-Morizet, Philippot… Les réactions de la droite à l’annonce de François Hollande";2016-12-02;"http://abonnes.lemonde.fr/politique/article/2016/12/02/fillon-kosciusko-morizet-philippot-les-reactions-de-la-droite-a-l-annonce-de-francois-hollande_5042037_823448.html?xtmc=fillon&xtcr=11"
"12";"Dans la Sarthe, Fillon fait du… Fillon";2016-12-02;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/02/dans-la-sarthe-fillon-fait-du-fillon_5042158_4854003.html?xtmc=fillon&xtcr=12"
"13";"Avortement : non, François Fillon n’a pas voté « toutes les lois qui ont permis l’accès à l’IVG »";2016-12-02;"http://abonnes.lemonde.fr/les-decodeurs/article/2016/12/02/avortement-non-francois-fillon-n-a-pas-vote-toutes-les-lois-qui-ont-permis-l-acces-a-l-ivg_5041905_4355770.html?xtmc=fillon&xtcr=13"
"14";"Gondwana TV : merci Monsieur Fillon pour ce « partage de culture »";2016-12-02;"http://abonnes.lemonde.fr/afrique/video/2016/12/02/gondwana-tv-merci-monsieur-fillon-pour-ce-partage-de-culture_5042441_3212.html?xtmc=fillon&xtcr=14"
"15";"François Fillon en photo avec Marion Maréchal-Le Pen ? C’est un montage";2016-12-05;"http://abonnes.lemonde.fr/les-decodeurs/article/2016/12/05/francois-fillon-en-photo-avec-marion-marechal-le-pen-c-est-un-montage_5043692_4355770.html?xtmc=fillon&xtcr=15"
"16";"Le programme santé de François Fillon inquiète certains députés Les Républicains";2016-12-07;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/07/le-programme-sante-de-francois-fillon-inquiete-certains-republicains_5044571_4854003.html?xtmc=fillon&xtcr=16"
"17";"François Fillon s’attable avec les « grenouilles » centristes";2016-12-08;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/08/francois-fillon-s-attable-avec-les-grenouilles-centristes_5045784_4854003.html?xtmc=fillon&xtcr=17"
"18";"« N’oublions pas le bilan de M. Fillon en matière d’éducation »";2016-12-09;"http://abonnes.lemonde.fr/idees/article/2016/12/09/n-oublions-pas-le-bilan-de-m-fillon-en-matiere-d-education_5046421_3232.html?xtmc=fillon&xtcr=18"
"19";"La prise en charge des rhumes sera-t-elle toujours remboursée ? « Ça dépend quel rhume », répond le porte-parole de François Fillon";2016-12-12;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/12/prise-en-charge-des-maladies-ca-depend-quel-rhume-repond-le-porte-parole-de-francois-fillon_5047601_4854003.html?xtmc=fillon&xtcr=19"
"20";"François Fillon assure qu’il ne veut pas « privatiser l’Assurance-maladie »";2016-12-13;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/12/francois-fillon-assure-qu-il-ne-veut-pas-privatiser-l-assurance-maladie_5047805_4854003.html?xtmc=fillon&xtcr=20"
"21";"Présidentielle : François Fillon recule sur son projet de réforme de l’Assurance-maladie";2016-12-13;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/13/presidentielle-francois-fillon-recule-sur-son-projet-de-reforme-de-l-assurance-maladie_5047896_4854003.html?xtmc=fillon&xtcr=21"
"22";"L’équipe de campagne de François Fillon rassemble les sensibilités du parti Les Républicains";2016-12-13;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/13/l-equipe-de-campagne-de-francois-fillon-rassemble-les-sensibilites-du-parti-les-republicains_5048095_4854003.html?xtmc=fillon&xtcr=22"
"23";"Bernard Cazeneuve critique François Fillon dans sa déclaration de politique générale";2016-12-13;"http://abonnes.lemonde.fr/politique/video/2016/12/13/bernard-cazeneuve-critique-francois-fillon-dans-sa-declaration-de-politique-generale_5048372_823448.html?xtmc=fillon&xtcr=23"
"24";"François Fillon multiplie les assurances sur la Sécurité sociale";2016-12-15;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/15/francois-fillon-multiplie-les-assurances-sur-la-securite-sociale_5049325_4854003.html?xtmc=fillon&xtcr=24"
"25";"François Fillon : décryptage d’un discours fondateur";2016-12-15;"http://abonnes.lemonde.fr/politique/video/2016/12/15/francois-fillon-decrypte_5049519_823448.html?xtmc=fillon&xtcr=25"
"26";"François Fillon présente son équipe de campagne";2016-12-15;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/15/francois-fillon-presente-son-equipe-de-campagne_5049456_4854003.html?xtmc=fillon&xtcr=26"
"27";"Un discours de François Fillon à la loupe, entre ombre de De Gaulle et fantôme de Sarkozy";2016-12-15;"http://abonnes.lemonde.fr/les-decodeurs/article/2016/12/15/un-discours-de-francois-fillon-a-la-loupe-entre-ombre-de-de-gaulle-et-fantome-de-sarkozy_5049651_4355770.html?xtmc=fillon&xtcr=27"
"28";"Equipe de campagne de François Fillon : le rassemblement, moins la parité";2016-12-16;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/16/equipe-de-campagne-de-francois-fillon-le-rassemblement-moins-la-parite_5050080_4854003.html?xtmc=fillon&xtcr=28"
"29";"Avec ces électeurs de droite pour qui Fillon « est trop bourgeois »";2016-12-17;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/17/avec-ces-electeurs-de-droite-pour-qui-fillon-est-trop-bourgeois_5050521_4854003.html?xtmc=fillon&xtcr=29"
"30";"François Fillon, un début de campagne plus compliqué que prévu";2016-12-17;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/17/francois-fillon-un-debut-de-campagne-plus-complique-que-prevu_5050530_4854003.html?xtmc=fillon&xtcr=30"
"31";"Mailly craint le « choc libéral » de Fillon";2016-12-18;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/18/mailly-craint-le-choc-liberal-de-fillon_5050769_4854003.html?xtmc=fillon&xtcr=31"
"32";"Accoyer confirme l’intention de Fillon de supprimer 500 000 emplois publics en cinq ans";2016-12-18;"http://abonnes.lemonde.fr/politique/article/2016/12/18/accoyer-confirme-l-intention-de-fillon-de-supprimer-500-000-emplois-publics-en-cinq-ans_5050818_823448.html?xtmc=fillon&xtcr=32"
"33";"François Fillon, « meilleur auteur que sujet »";2016-12-19;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/17/francois-fillon-meilleur-auteur-que-sujet_5050556_4854003.html?xtmc=fillon&xtcr=33"
"34";"Fillon s’inquiète de la dynamique Macron";2016-12-21;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/21/le-potentiel-de-macron-inquiete-la-droite_5052198_4854003.html?xtmc=fillon&xtcr=34"
"35";"François Fillon rebat les cartes des investitures LR aux législatives";2016-12-22;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/22/francois-fillon-rebat-les-cartes-des-investitures-lr-aux-legislatives_5052694_4854003.html?xtmc=fillon&xtcr=35"
"36";"M. Fillon veut « relancer la croissance » et non créer de la déflation";2017-01-02;"http://abonnes.lemonde.fr/idees/article/2017/01/02/m-fillon-veut-relancer-la-croissance-et-non-creer-de-la-deflation_5056458_3232.html?xtmc=fillon&xtcr=36"
"37";"Bayrou dément avoir passé « un pacte secret » avec Fillon";2017-01-02;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/02/bayrou-dement-avoir-passe-un-pacte-secret-avec-fillon_5056462_4854003.html?xtmc=fillon&xtcr=37"
"38";"François Fillon, se revendiquant « gaulliste et chrétien », annonce trois chantiers prioritaires s’il est élu";2017-01-04;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/03/francois-fillon-se-revendiquant-gaulliste-et-chretien-lancera-trois-chantiers-prioritaires-s-il-est-elu_5057241_4854003.html?xtmc=fillon&xtcr=38"
"39";"Fillon renonce à dévoiler les noms de ses ministres";2017-01-04;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/04/fillon-renonce-a-devoiler-les-noms-de-ses-ministres_5057418_4854003.html?xtmc=fillon&xtcr=39"
"40";"Rassurer sans se renier : le délicat pari de François Fillon";2017-01-04;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/04/francois-fillon-veut-rassurer-l-opinion-publique-sur-la-radicalite-de-son-projet_5057296_4854003.html?xtmc=fillon&xtcr=40"
"41";"Elena Ferrante, le bon filon de Gallimard";2017-01-05;"http://abonnes.lemonde.fr/livres/article/2017/01/05/elena-ferrante-le-bon-filon-de-gallimard_5057878_3260.html?xtmc=fillon&xtcr=41"
"42";"Le Pen et Fillon toujours en tête des intentions de vote des fonctionnaires";2017-01-05;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/05/le-pen-et-fillon-toujours-en-tete-des-intentions-de-vote-des-fonctionnaires_5058214_4854003.html?xtmc=fillon&xtcr=42"
"43";"François Bayrou : « Les orientations de François Fillon inquiètent »";2017-01-06;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/06/francois-bayrou-les-orientations-de-francois-fillon-inquietent_5058450_4854003.html?xtmc=fillon&xtcr=43"
"44";"Carlos Ghosn et François Fillon font leur show à Las Vegas";2017-01-06;"http://abonnes.lemonde.fr/economie/article/2017/01/06/carlos-ghosn-et-francois-fillon-font-leur-show-a-las-vegas_5058707_3234.html?xtmc=fillon&xtcr=44"
"45";"Présidentielle : « Bayrou menace Fillon pour mieux défendre ses intérêts »";2017-01-06;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/06/presidentielle-bayrou-menace-fillon-pour-mieux-defendre-ses-interets_5058901_4854003.html?xtmc=fillon&xtcr=45"
"46";"Pour Bachar Al-Assad, la position de François Fillon sur la Syrie est « une très bonne chose »";2017-01-09;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/09/pour-bachar-al-assad-la-position-de-francois-fillon-sur-la-syrie-est-une-tres-bonne-chose_5059694_4854003.html?xtmc=fillon&xtcr=46"
"47";"Fragilisé sur le social, Fillon parie sur la sécurité";2017-01-10;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/10/fragilise-sur-le-social-fillon-parie-sur-la-securite_5060319_4854003.html?xtmc=fillon&xtcr=47"
"48";"François Fillon et l’héritage « de l’Internet en France »";2017-01-10;"http://abonnes.lemonde.fr/big-browser/article/2017/01/09/francois-fillon-et-l-heritage-de-l-internet-en-france_5059853_4832693.html?xtmc=fillon&xtcr=48"
"49";"François Fillon n’a « rien à voir avec Assad »";2017-01-10;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/10/francois-fillon-n-a-rien-a-voir-avec-assad_5060359_4854003.html?xtmc=fillon&xtcr=49"
"50";"Fillon veut « incarner l’orgueil d’une nation qui ne se laisse plus abattre »";2017-01-11;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/10/fillon-veut-incarner-l-orgueil-d-une-nation-qui-ne-se-laisse-plus-abattre_5060530_4854003.html?xtmc=fillon&xtcr=50"
"51";"Fillon : « Sur la Sécurité sociale, on n’a pas été bons »";2017-01-11;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/11/fillon-sur-la-securite-sociale-on-n-a-pas-ete-bons_5060709_4854003.html?xtmc=fillon&xtcr=51"
"52";"François Fillon souhaite réguler l'immigration avec des « quotas »";2017-01-11;"http://abonnes.lemonde.fr/election-presidentielle-2017/video/2017/01/11/francois-fillon-souhaite-reguler-l-immigration-avec-des-quotas_5060972_4854003.html?xtmc=fillon&xtcr=52"
"53";"Comment Fillon le « chrétien » a mis la question de la religion dans le débat de la présidentielle";2017-01-11;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/11/comment-fillon-le-chretien-a-mis-la-question-de-la-religion-dans-le-debat-de-la-presidentielle_5061055_4854003.html?xtmc=fillon&xtcr=53"
"54";"Fillon fait son mea culpa sur la Sécu et parle immigration pour relancer sa campagne";2017-01-12;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/11/fillon-fait-son-mea-culpa-sur-la-secu-et-parle-immigration-pour-relancer-sa-campagne_5061231_4854003.html?xtmc=fillon&xtcr=54"
"55";"François Fillon, un faux plat et des frondeurs";2017-01-12;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/12/francois-fillon-un-faux-plat-et-des-frondeurs_5061274_4854003.html?xtmc=fillon&xtcr=55"
"56";"Ce qui différencie les programmes de Fillon et Juppé";2017-01-12;"http://abonnes.lemonde.fr/les-decodeurs/article/2016/11/21/primaire-de-la-droite-ce-qui-differencie-fillon-et-juppe-dans-leurs-programmes_5034820_4355770.html?xtmc=fillon&xtcr=56"
"57";"« C’est moi qui suis candidat à la présidentielle », dit François Fillon aux sarkozystes";2017-01-13;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/13/c-est-moi-qui-suis-candidat-a-la-presidentielle-dit-francois-fillon-aux-sarkozystes_5062058_4854003.html?xtmc=fillon&xtcr=57"
"58";"Les entreprises du transport public s’inquiètent du programme Fillon";2017-01-13;"http://abonnes.lemonde.fr/economie/article/2017/01/12/les-entreprises-du-transport-public-s-inquietent-du-programme-fillon_5061455_3234.html?xtmc=fillon&xtcr=58"
"59";"La pléthorique équipe de campagne de François Fillon s’agrandit encore";2017-01-13;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/13/la-plethorique-equipe-de-campagne-de-francois-fillon-s-agrandit-encore_5062481_4854003.html?xtmc=fillon&xtcr=59"
"60";"Devant Les Républicains, Fillon assure qu’il ne mettra « pas d’eau dans son vin »";2017-01-14;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/14/les-republicains-investissent-leurs-candidats-pour-2017_5062769_4854003.html?xtmc=fillon&xtcr=60"
"61";"François Fillon rappelle à l’ordre Laurent Wauquiez et les sarkozystes";2017-01-15;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/14/francois-fillon-rappelle-a-l-ordre-laurent-wauquiez-et-les-sarkozystes_5062813_4854003.html?xtmc=fillon&xtcr=61"
"62";"Présidentielle : déterminé à aller « jusqu’au bout » de sa candidature, Guaino tape sur Fillon";2017-01-16;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/16/presidentielle-determine-a-aller-jusqu-au-bout-de-sa-candidature-guaino-tape-sur-fillon_5063249_4854003.html?xtmc=fillon&xtcr=62"
"63";"« Fillon et Macron ont mis la dynamique entrepreneuriale au cœur de leur projet »";2017-01-16;"http://abonnes.lemonde.fr/idees/article/2017/01/16/fillon-et-macron-ont-mis-la-dynamique-entrepreneuriale-au-c-ur-de-leur-projet_5063282_3232.html?xtmc=fillon&xtcr=63"
"64";"Mathieu Laine : « Un duel “Fillon-Macron” est à mille lieues des désespérants “Hollande - Sarkozy” et autres “Chirac - Jospin” »";2017-01-16;"http://abonnes.lemonde.fr/politique/article/2017/01/16/mathieu-laine-un-duel-fillon-macron-est-a-mille-lieues-des-desesperants-hollande-sarkozy-et-autres-chirac-jospin_5063397_823448.html?xtmc=fillon&xtcr=64"
"65";"François Fillon s’inquiète de la poussée du candidat Macron";2017-01-16;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/16/francois-fillon-s-inquiete-de-la-poussee-du-candidat-emmanuel-macron_5063336_4854003.html?xtmc=fillon&xtcr=65"
"66";"Entre Fillon et Sarkozy, une affaire de sentiments";2017-01-17;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/17/entre-fillon-et-sarkozy-une-affaire-de-sentiments_5063971_4854003.html?xtmc=fillon&xtcr=66"
"67";"Entre Fillon et Sarkozy, un contentieux toujours vivace";2017-01-17;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/17/fillon-sarkozy-le-contentieux-toujours-vivace_5063881_4854003.html?xtmc=fillon&xtcr=67"
"68";"François Fillon empêtré dans sa communication";2017-01-18;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/18/francois-fillon-empetre-dans-sa-communication_5064403_4854003.html?xtmc=fillon&xtcr=68"
"69";"Fillon veut « débureaucratiser l’action sociale »";2017-01-19;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/19/fillon-veut-debureaucratiser-l-action-sociale_5065238_4854003.html?xtmc=fillon&xtcr=69"
"70";"500 000 emplois publics en moins : l’équation impossible de François Fillon";2017-01-19;"http://abonnes.lemonde.fr/les-decodeurs/article/2017/01/19/500-000-emplois-publics-en-moins-l-equation-impossible-de-francois-fillon_5065522_4355770.html?xtmc=fillon&xtcr=70"
"71";"Présidentielle : Le Pen, Fillon et Macron en tête dans les intentions de vote au premier tour";2017-01-20;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/19/le-pen-fillon-et-macron-en-tete-dans-les-intentions-de-vote-au-premier-tour_5065009_4854003.html?xtmc=fillon&xtcr=71"
"72";"François Fillon cherche sa dynamique";2017-01-21;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/20/francois-fillon-cherche-sa-dynamique_5065936_4854003.html?xtmc=fillon&xtcr=72"
"73";"Ce qui se cache derrière la suppression des 500 000 fonctionnaires de M. Fillon";2017-01-23;"http://abonnes.lemonde.fr/economie/article/2017/01/23/ce-qui-se-cache-derriere-la-suppression-des-500-000-fonctionnaires-de-m-fillon_5067275_3234.html?xtmc=fillon&xtcr=73"
"74";"François Fillon : « Je propose une alliance européenne de défense »";2017-01-23;"http://abonnes.lemonde.fr/international/article/2017/01/22/francois-fillon-je-propose-une-alliance-europeenne-de-defense_5066975_3210.html?xtmc=fillon&xtcr=74"
"75";"A Berlin, François Fillon rencontre Angela Merkel et défend l’axe franco-allemand";2017-01-23;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/23/a-berlin-francois-fillon-rencontre-angela-merkel-et-defend-l-axe-franco-allemand_5067769_4854003.html?xtmc=fillon&xtcr=75"
"76";"A Berlin, François Fillon se démarque d’Emmanuel Macron";2017-01-24;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/24/a-berlin-francois-fillon-se-demarque-de-emmanuel-macron_5068106_4854003.html?xtmc=fillon&xtcr=76"
"77";"Fillon estime qu’il y aura « trois candidats de gauche », sans évoquer Manuel Valls";2017-01-24;"http://abonnes.lemonde.fr/election-presidentielle-2017/video/2017/01/24/fillon-estime-qu-il-y-aura-trois-candidats-de-gauche-sans-evoquer-manuel-valls_5068250_4854003.html?xtmc=fillon&xtcr=77"
"78";"Trump, Penelope Fillon et légitime défense… l’essentiel de l’actualité à 8 heures";2017-01-25;"http://abonnes.lemonde.fr/les-decodeurs/article/2017/01/25/trump-penelope-fillon-et-gendarmes-armes-l-essentiel-de-l-actualite-a-8-heures_5068600_4355770.html?xtmc=fillon&xtcr=78"
