"title";"date";"href"
"1";"Présidentielle 2017 : les propositions des grandes écoles pour « faire réussir la jeunesse »";"2016-12-01";"http://abonnes.lemonde.fr/campus/article/2016/12/01/presidentielle-2017-les-propositions-des-grandes-ecoles-pour-faire-reussir-la-jeunesse_5041290_4401467.html?xtmc=presidentielle&xtcr=1"
"2";"Haïti : la rue conteste les résultats de la présidentielle";"2016-12-01";"http://abonnes.lemonde.fr/ameriques/video/2016/12/01/haiti-la-rue-conteste-les-resultats-de-la-presidentielle_5041693_3222.html?xtmc=presidentielle&xtcr=2"
"3";"Présidentielle 2017 : qui est candidat à gauche ?";"2016-12-01";"http://abonnes.lemonde.fr/les-decodeurs/article/2016/11/28/presidentielle-2017-qui-est-candidat-a-gauche_5039577_4355770.html?xtmc=presidentielle&xtcr=3"
"4";"François Hollande : « J’ai décidé de ne pas être candidat à l’élection présidentielle »";"2016-12-01";"http://abonnes.lemonde.fr/election-presidentielle-2017/video/2016/12/01/francois-hollande-j-ai-decide-de-ne-pas-etre-candidat-a-l-election-presidentielle_5041817_4854003.html?xtmc=presidentielle&xtcr=4"
"5";"Pour Arnaud Montebourg, François Hollande a pris « une décision sage » concernant sa candidature à la présidentielle de 2017";"2016-12-01";"http://abonnes.lemonde.fr/election-presidentielle-2017/video/2016/12/01/pour-arnaud-montebourg-francois-hollande-a-pris-une-decision-sage-concernant-sa-candidature-a-la-presidentielle-de-2017_5041824_4854003.html?xtmc=presidentielle&xtcr=5"
"6";"Vladimir Poutine lance sa campagne présidentielle";"2016-12-02";"http://abonnes.lemonde.fr/international/article/2016/12/01/poutine-lance-sa-campagne-presidentielle_5041639_3210.html?xtmc=presidentielle&xtcr=6"
"7";"François Hollande : « J’ai décidé de ne pas être candidat à l’élection présidentielle »";"2016-12-02";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/01/francois-hollande-s-exprimera-a-20-heures-en-direct-depuis-l-elysee_5041785_4854003.html?xtmc=presidentielle&xtcr=7"
"8";"Présidentielle en Autriche : un choix d’avenir crucial";"2016-12-02";"http://abonnes.lemonde.fr/europe/article/2016/12/02/presidentielle-en-autriche-un-choix-d-avenir-crucial_5041935_3214.html?xtmc=presidentielle&xtcr=8"
"9";"Présidentielle en Autriche : l’extrême droite invite Dieu dans la campagne";"2016-12-02";"http://abonnes.lemonde.fr/europe/article/2016/12/02/presidentielle-en-autriche-l-extreme-droite-invite-dieu-dans-la-campagne_5042536_3214.html?xtmc=presidentielle&xtcr=9"
"10";"François Hollande : « J’ai décidé de ne pas être candidat à l’élection présidentielle »";"2016-12-02";"http://abonnes.lemonde.fr/election-presidentielle-2017/video/2016/12/01/francois-hollande-j-ai-decide-de-ne-pas-etre-candidat-a-l-election-presidentielle_5041819_4854003.html?xtmc=presidentielle&xtcr=10"
"11";"En Autriche, la culotte de peau s’invite dans la campagne présidentielle";"2016-12-02";"http://abonnes.lemonde.fr/m-moyen-format/article/2016/12/02/en-autriche-la-culotte-de-peau-s-invite-dans-la-campagne-presidentielle_5042455_4497271.html?xtmc=presidentielle&xtcr=11"
"12";"Présidentielle : après le renoncement de Hollande, Valls temporise";"2016-12-03";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/03/presidentielle-apres-le-renoncement-de-hollande-valls-temporise_5042713_4854003.html?xtmc=presidentielle&xtcr=12"
"13";"L’élection présidentielle autrichienne, un scrutin hors norme";"2016-12-03";"http://abonnes.lemonde.fr/europe/video/2016/12/03/l-election-presidentielle-autrichienne-un-scrutin-hors-norme_5042723_3214.html?xtmc=presidentielle&xtcr=13"
"14";"Etats-Unis : le Wisconsin va recompter les voix de la présidentielle";"2016-12-03";"http://abonnes.lemonde.fr/elections-americaines/article/2016/11/26/le-wisconsin-premier-etat-a-recompter-ses-voix-pour-la-presidentielle-americaine_5038480_829254.html?xtmc=presidentielle&xtcr=14"
"15";"Alexandre Jardin, d’écrivain à candidat à la présidentielle";"2016-12-03";"http://abonnes.lemonde.fr/m-actu/article/2016/10/16/alexandre-jardin-bientot-candidat-a-la-presidentielle_5014589_4497186.html?xtmc=presidentielle&xtcr=15"
"16";"L’Europe et Merkel au cœur des débats de la présidentielle autrichienne";"2016-12-04";"http://abonnes.lemonde.fr/europe/article/2016/12/03/l-europe-et-merkel-au-c-ur-des-debats-de-la-presidentielle-autrichienne_5042914_3214.html?xtmc=presidentielle&xtcr=16"
"17";"L’écrivain Alexandre Jardin annonce sa candidature à l’élection présidentielle";"2016-12-04";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/03/alexandre-jardin-annonce-sa-candidature-a-l-election-presidentielle_5042850_4854003.html?xtmc=presidentielle&xtcr=17"
"18";"Macron fera cavalier seul pour la présidentielle, Valls prêt à se déclarer candidat";"2016-12-04";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/04/pour-macron-la-primaire-va-scenariser-le-dechirement-autour-du-bilan-du-quinquennat_5042987_4854003.html?xtmc=presidentielle&xtcr=18"
"19";"Présidentielle autrichienne : Alexander Van der Bellen, l’Européen qui a grandi en culotte de peau";"2016-12-04";"http://abonnes.lemonde.fr/europe/article/2016/12/04/presidentielle-autrichienne-alexander-van-der-bellen-l-europeen-qui-a-grandi-en-culotte-de-peau_5043051_3214.html?xtmc=presidentielle&xtcr=19"
"20";"Référendum italien, présidentielle autrichienne : le pire n’est pas toujours sûr";"2016-12-05";"http://abonnes.lemonde.fr/idees/article/2016/12/05/referendum-italien-presidentielle-autrichienne-le-pire-n-est-pas-toujours-sur_5043518_3232.html?xtmc=presidentielle&xtcr=20"
"21";"Au Ghana, les enjeux de la présidentielle entre économie en berne et pénuries d’énergies";"2016-12-06";"http://abonnes.lemonde.fr/afrique/article/2016/12/06/au-ghana-les-enjeux-de-la-presidentielle-entre-economie-en-berne-et-penuries-d-energies_5044340_3212.html?xtmc=presidentielle&xtcr=21"
"22";"Ghana : J-1 avant la présidentielle";"2016-12-06";"http://abonnes.lemonde.fr/afrique/video/2016/12/06/ghana-j-1-avant-la-presidentielle_5044442_3212.html?xtmc=presidentielle&xtcr=22"
"23";"Pour Cazeneuve, « chaque jour compte » avant la présidentielle";"2016-12-07";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/06/pour-cazeneuve-chaque-jour-compte-avant-la-presidentielle_5044488_4854003.html?xtmc=presidentielle&xtcr=23"
"24";"Présidentielle ghanéenne : jour de vote sur fond de tensions";"2016-12-07";"http://abonnes.lemonde.fr/afrique/article/2016/12/07/presidentielle-ghaneenne-jour-de-vote-sur-fond-de-tensions_5044659_3212.html?xtmc=presidentielle&xtcr=24"
"25";"Valls convaincu d’être « le seul à gauche qui peut gagner la présidentielle »";"2016-12-08";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/08/valls-convaincu-d-etre-le-seul-a-gauche-qui-peut-gagner-la-presidentielle_5045289_4854003.html?xtmc=presidentielle&xtcr=25"
